CreditScore,LoanAmount,YearsEmployed,EmploymentType,LoanApproved
598,37425,11,Salaried,0
368,45181,9,Self-Employed,0
724,43124,22,Self-Employed,1
621,37708,0,Salaried,0
594,13681,5,Salaried,0
792,11621,15,Salaried,1
710,8080,3,Salaried,1
647,13062,3,Self-Employed,0
640,19389,15,Self-Employed,0
746,42631,17,Salaried,1
503,33208,24,Self-Employed,0
623,38342,22,Self-Employed,0
649,36441,7,Self-Employed,0
305,34769,24,Self-Employed,0
828,23693,16,Self-Employed,1
459,10956,23,Self-Employed,0
463,35293,13,Self-Employed,0
401,22517,12,Self-Employed,0
467,20999,14,Self-Employed,0
443,46586,0,Self-Employed,0
738,46987,11,Salaried,1
463,25071,15,Self-Employed,0
840,40977,9,Self-Employed,1
434,19327,17,Self-Employed,0
692,27951,18,Self-Employed,1
748,8137,0,Salaried,0
542,6836,20,Salaried,0
453,48762,4,Self-Employed,0
681,43313,12,Salaried,1
660,36961,18,Self-Employed,1
748,7312,25,Self-Employed,1
457,33621,29,Salaried,0
725,23971,29,Salaried,1
346,36197,21,Salaried,0
354,14309,2,Self-Employed,0
796,5432,11,Self-Employed,1
631,47361,16,Self-Employed,0
518,42212,16,Self-Employed,0
615,29222,11,Self-Employed,0
545,41736,12,Salaried,0
791,32747,22,Salaried,1
773,7360,3,Salaried,1
788,18709,15,Salaried,1
721,34248,7,Salaried,1
790,36316,5,Salaried,1
521,48625,27,Self-Employed,0
650,25821,15,Salaried,0
769,8471,22,Salaried,1
767,5329,5,Salaried,1
459,42066,9,Salaried,0
526,23679,28,Salaried,0
655,23712,10,Self-Employed,1
737,6548,23,Self-Employed,1
399,5095,26,Self-Employed,0
467,10212,21,Self-Employed,0
520,17690,10,Self-Employed,0
580,36064,13,Salaried,0
419,16926,8,Self-Employed,0
553,45059,3,Salaried,0
470,30272,18,Salaried,0
664,21840,28,Salaried,1
340,23224,23,Self-Employed,0
716,24172,8,Salaried,1
686,6868,8,Self-Employed,1
839,24280,22,Self-Employed,1
438,27871,15,Self-Employed,0
527,9981,12,Salaried,0
344,28053,8,Self-Employed,0
786,28684,12,Self-Employed,1
835,24747,21,Salaried,1
701,15306,20,Salaried,1
827,24044,21,Salaried,1
337,19024,5,Salaried,0
375,18301,17,Salaried,0
577,6368,21,Self-Employed,0
435,12523,19,Salaried,0
839,21999,18,Self-Employed,1
848,44825,20,Self-Employed,1
847,41342,29,Salaried,1
457,48158,14,Self-Employed,0
718,11164,10,Self-Employed,1
703,47373,2,Salaried,0
675,14747,21,Self-Employed,1
576,40183,28,Salaried,0
549,21834,22,Salaried,0
758,39923,18,Self-Employed,1
316,27309,25,Salaried,0
477,20531,27,Self-Employed,0
394,29082,2,Salaried,0
767,30036,7,Salaried,1
817,42185,18,Self-Employed,1
725,16454,23,Self-Employed,1
812,28369,27,Self-Employed,1
418,19656,1,Salaried,0
490,10691,22,Salaried,0
581,45619,16,Self-Employed,0
466,44045,0,Salaried,0
623,10566,29,Self-Employed,0
747,37992,14,Self-Employed,1
717,33609,17,Self-Employed,1
318,26882,28,Self-Employed,0
543,34627,1,Salaried,0
738,44363,5,Salaried,1
798,16266,16,Salaried,1
605,34056,24,Salaried,0
457,31759,27,Self-Employed,0
494,43318,1,Self-Employed,0
410,13566,17,Salaried,0
508,22572,5,Self-Employed,0
729,25288,14,Salaried,1
834,22258,25,Salaried,1
428,48778,18,Salaried,0
308,34705,13,Self-Employed,0
533,22427,3,Salaried,0
396,7518,0,Salaried,0
711,35178,28,Self-Employed,1
321,24189,17,Self-Employed,0
452,33949,13,Salaried,0
570,34078,20,Salaried,0
465,49967,6,Self-Employed,0
719,48176,27,Salaried,1
557,17864,25,Self-Employed,0
311,5217,17,Self-Employed,0
574,22617,21,Self-Employed,0
670,32345,23,Salaried,1
797,41962,18,Self-Employed,1
734,35166,23,Salaried,1
428,5327,18,Salaried,0
838,22811,14,Self-Employed,1
813,49855,11,Self-Employed,1
584,8188,2,Self-Employed,0
714,18292,28,Self-Employed,1
782,5723,22,Salaried,1
803,28118,16,Salaried,1
546,32709,21,Salaried,0
609,15309,19,Self-Employed,0
451,18397,28,Salaried,0
625,32101,13,Self-Employed,0
521,21412,18,Salaried,0
496,9448,11,Salaried,0
691,5944,21,Self-Employed,1
517,33045,18,Self-Employed,0
390,11814,17,Salaried,0
537,11250,0,Salaried,0
675,8759,26,Self-Employed,1
446,5920,22,Self-Employed,0
463,35020,21,Self-Employed,0
707,48649,19,Salaried,1
307,28437,10,Self-Employed,0
697,42139,15,Self-Employed,1
631,13360,18,Salaried,0
675,16949,18,Salaried,1
448,7555,6,Salaried,0
640,40996,0,Self-Employed,0
349,19148,4,Self-Employed,0
752,26433,22,Salaried,1
369,28055,19,Salaried,0
590,38195,12,Salaried,0
319,39286,15,Self-Employed,0
734,46339,20,Self-Employed,1
603,27113,15,Self-Employed,0
849,27316,17,Salaried,1
604,15979,1,Self-Employed,0
780,6049,2,Salaried,0
329,6389,16,Self-Employed,0
821,49101,11,Salaried,1
802,29408,12,Self-Employed,1
451,21845,23,Self-Employed,0
522,14145,6,Self-Employed,0
375,20586,21,Self-Employed,0
749,43615,2,Self-Employed,0
702,38805,28,Self-Employed,1
463,7723,1,Salaried,0
351,22197,23,Self-Employed,0
361,24876,28,Salaried,0
319,19335,12,Salaried,0
831,15715,5,Self-Employed,1
332,23860,14,Self-Employed,0
398,40328,3,Salaried,0
498,40842,28,Self-Employed,0
344,31019,15,Salaried,0
844,44537,9,Self-Employed,1
479,21794,25,Salaried,0
572,8723,25,Self-Employed,0
371,14544,24,Salaried,0
347,22937,24,Self-Employed,0
759,14315,24,Salaried,1
378,14329,25,Self-Employed,0
362,10551,20,Salaried,0
524,26292,5,Salaried,0
757,16851,23,Salaried,1
842,22816,25,Salaried,1
719,14356,13,Salaried,1
673,7526,9,Salaried,1
525,15909,9,Salaried,0
701,32347,12,Self-Employed,1
550,30913,13,Salaried,0
407,43634,22,Self-Employed,0
428,13542,25,Self-Employed,0
665,41917,19,Salaried,1
553,26791,16,Self-Employed,0
753,13447,26,Salaried,1
414,6147,5,Self-Employed,0
300,43456,5,Salaried,0
363,14162,0,Salaried,0
388,15493,12,Salaried,0
461,49415,12,Salaried,0
374,15576,8,Self-Employed,0
476,7744,6,Self-Employed,0
580,44095,27,Self-Employed,0
563,34654,21,Salaried,0
715,18088,12,Self-Employed,1
323,46488,14,Self-Employed,0
836,7563,3,Salaried,1
619,38092,27,Self-Employed,0
748,30046,14,Self-Employed,1
338,9217,6,Self-Employed,0
441,38561,12,Salaried,0
675,28960,9,Self-Employed,1
409,26533,17,Salaried,0
705,32408,6,Self-Employed,1
758,34349,20,Salaried,1
474,44499,11,Self-Employed,0
775,31877,7,Salaried,1
571,23325,0,Self-Employed,0
752,9897,19,Self-Employed,1
317,20071,7,Self-Employed,0
577,7881,9,Salaried,0
398,9601,25,Salaried,0
306,34023,11,Salaried,0
353,19116,1,Self-Employed,0
378,32086,17,Salaried,0
636,47970,28,Salaried,0
455,32941,5,Salaried,0
660,6455,20,Salaried,1
313,21740,21,Salaried,0
350,17726,8,Self-Employed,0
796,35169,4,Salaried,1
844,13248,16,Self-Employed,1
361,13177,29,Self-Employed,0
775,24520,20,Self-Employed,1
470,33891,9,Self-Employed,0
597,15832,22,Self-Employed,0
843,6446,9,Self-Employed,1
698,17434,9,Self-Employed,1
581,24622,27,Self-Employed,0
795,9031,20,Salaried,1
806,21570,27,Self-Employed,1
747,27668,28,Self-Employed,1
590,14962,20,Salaried,0
708,41603,15,Salaried,1
769,14546,25,Self-Employed,1
504,16518,3,Self-Employed,0
740,42097,0,Salaried,0
314,45195,21,Self-Employed,0
341,39316,29,Self-Employed,0
522,20164,11,Self-Employed,0
341,15606,11,Self-Employed,0
745,8466,16,Self-Employed,1
642,18917,15,Self-Employed,0
328,9259,23,Salaried,0
470,7827,4,Self-Employed,0
375,25443,10,Salaried,0
465,47260,16,Salaried,0
390,39849,16,Salaried,0
330,47958,13,Salaried,0
408,40833,2,Self-Employed,0
561,49232,17,Salaried,0
841,20416,10,Self-Employed,1
724,30345,2,Self-Employed,0
653,8033,12,Self-Employed,1
628,10854,13,Salaried,0
735,38089,18,Salaried,1
693,31628,9,Self-Employed,1
411,44366,10,Salaried,0
551,28156,5,Salaried,0
600,20482,13,Self-Employed,0
746,41038,18,Self-Employed,1
612,6867,21,Self-Employed,0
456,29435,18,Salaried,0
595,39871,5,Self-Employed,0
598,30696,11,Salaried,0
699,39608,10,Self-Employed,1
649,20176,9,Self-Employed,0
727,47930,10,Self-Employed,1
744,42402,1,Self-Employed,0
559,48089,17,Self-Employed,0
571,49692,29,Self-Employed,0
563,40790,17,Self-Employed,0
767,40595,3,Self-Employed,1
667,33416,20,Salaried,1
749,14277,2,Self-Employed,0
583,9303,24,Self-Employed,0
490,38656,6,Salaried,0
493,12865,7,Self-Employed,0
525,8700,18,Self-Employed,0
661,8166,0,Self-Employed,0
811,5360,7,Self-Employed,1
345,47778,26,Salaried,0
786,49443,26,Salaried,1
346,49813,10,Self-Employed,0
592,30421,6,Self-Employed,0
543,17875,8,Salaried,0
411,30692,22,Salaried,0
411,16591,2,Salaried,0
587,49275,10,Salaried,0
401,24104,3,Self-Employed,0
774,16831,21,Self-Employed,1
390,29024,28,Self-Employed,0
744,5153,14,Salaried,1
733,11600,18,Salaried,1
438,5891,1,Salaried,0
446,8318,0,Salaried,0
325,27096,11,Self-Employed,0
507,22881,22,Self-Employed,0
792,5267,2,Self-Employed,0
566,16586,1,Self-Employed,0
350,34476,6,Salaried,0
496,38325,1,Salaried,0
316,45039,3,Salaried,0
505,41329,2,Self-Employed,0
652,9888,29,Salaried,1
338,36375,2,Self-Employed,0
510,9919,27,Self-Employed,0
360,41316,12,Salaried,0
595,17043,23,Self-Employed,0
348,29647,3,Self-Employed,0
797,5690,27,Self-Employed,1
379,43576,13,Salaried,0
431,46191,2,Self-Employed,0
428,47613,16,Self-Employed,0
543,5959,13,Self-Employed,0
636,7833,29,Salaried,0
817,22310,28,Salaried,1
530,46786,23,Self-Employed,0
311,26816,9,Self-Employed,0
555,12082,1,Self-Employed,0
715,40027,11,Self-Employed,1
386,41211,24,Self-Employed,0
572,34227,8,Self-Employed,0
392,15147,16,Salaried,0
705,21397,17,Salaried,1
773,10433,26,Self-Employed,1
795,21794,26,Self-Employed,1
803,34567,19,Salaried,1
497,21441,16,Salaried,0
341,33746,19,Salaried,0
737,30512,9,Self-Employed,1
348,21498,17,Self-Employed,0
838,38296,28,Salaried,1
814,34859,19,Self-Employed,1
518,40626,25,Self-Employed,0
683,45936,25,Self-Employed,1
442,20469,2,Salaried,0
504,40592,8,Salaried,0
650,39119,19,Salaried,0
537,17020,21,Salaried,0
304,46362,9,Self-Employed,0
345,26330,2,Self-Employed,0
797,15382,15,Salaried,1
437,19907,14,Salaried,0
416,13045,18,Self-Employed,0
429,35772,14,Self-Employed,0
576,23279,24,Self-Employed,0
623,44422,17,Self-Employed,0
680,42540,17,Salaried,1
344,19431,14,Self-Employed,0
676,35171,6,Salaried,1
390,49898,15,Self-Employed,0
357,35083,13,Self-Employed,0
416,17148,21,Salaried,0
469,32768,15,Self-Employed,0
395,12697,4,Self-Employed,0
433,11147,11,Salaried,0
848,29970,3,Salaried,1
847,49976,25,Salaried,1
565,47433,24,Salaried,0
684,24474,27,Self-Employed,1
622,48968,10,Salaried,0
501,17277,9,Self-Employed,0
661,48735,13,Self-Employed,1
752,38708,10,Self-Employed,1
659,6812,6,Self-Employed,1
716,6371,7,Salaried,1
434,47526,18,Self-Employed,0
692,37688,10,Salaried,1
363,46728,28,Self-Employed,0
735,14967,6,Self-Employed,1
646,14059,6,Salaried,0
849,28250,22,Self-Employed,1
531,21048,20,Self-Employed,0
663,47393,28,Salaried,1
316,8176,12,Salaried,0
612,29982,16,Self-Employed,0
322,17261,26,Salaried,0
458,48984,13,Self-Employed,0
317,21969,19,Salaried,0
641,48754,29,Self-Employed,0
452,47490,26,Self-Employed,0
367,37810,23,Self-Employed,0
437,20574,10,Salaried,0
680,9037,29,Salaried,1
455,5756,8,Self-Employed,0
351,5225,6,Self-Employed,0
383,39332,1,Salaried,0
620,41199,1,Salaried,0
608,19985,9,Self-Employed,0
845,29813,14,Self-Employed,1
647,22340,9,Self-Employed,0
644,25251,29,Self-Employed,0
826,44011,5,Self-Employed,1
418,17435,13,Self-Employed,0
671,21477,0,Self-Employed,0
730,48888,17,Salaried,1
814,9847,14,Salaried,1
450,8788,18,Salaried,0
830,5267,3,Salaried,1
431,21671,12,Self-Employed,0
410,19118,17,Self-Employed,0
545,7281,9,Self-Employed,0
346,25370,9,Salaried,0
392,21790,6,Salaried,0
704,23413,9,Salaried,1
762,15399,12,Salaried,1
506,6995,21,Self-Employed,0
702,32476,18,Salaried,1
431,22148,11,Self-Employed,0
840,32421,0,Self-Employed,0
569,27141,10,Self-Employed,0
652,36839,15,Self-Employed,1
829,20584,28,Salaried,1
690,36944,21,Salaried,1
337,35744,3,Salaried,0
513,7317,21,Salaried,0
504,31970,5,Salaried,0
726,40450,29,Salaried,1
390,37132,17,Self-Employed,0
397,19863,23,Salaried,0
359,7054,6,Self-Employed,0
452,47946,11,Salaried,0
509,44251,10,Salaried,0
578,48019,18,Salaried,0
362,38280,18,Salaried,0
534,26101,18,Salaried,0
530,27896,14,Self-Employed,0
502,13193,21,Salaried,0
607,7862,19,Salaried,0
336,39201,2,Self-Employed,0
385,32427,27,Salaried,0
724,29778,11,Self-Employed,1
748,38196,11,Salaried,1
779,28258,23,Salaried,1
353,12710,7,Self-Employed,0
726,42117,2,Self-Employed,0
586,23543,16,Self-Employed,0
362,12564,23,Salaried,0
611,8497,26,Salaried,0
607,17060,5,Self-Employed,0
571,47367,29,Salaried,0
691,24724,18,Self-Employed,1
376,18008,17,Self-Employed,0
392,5478,18,Salaried,0
467,32034,14,Self-Employed,0
727,35620,9,Salaried,1
476,22640,9,Salaried,0
306,13006,6,Self-Employed,0
574,42679,9,Salaried,0
759,15549,26,Salaried,1
805,37986,22,Self-Employed,1
838,11669,15,Salaried,1
519,41846,9,Salaried,0
697,29211,11,Salaried,1
657,38552,4,Self-Employed,1
642,12710,17,Salaried,0
333,48124,5,Salaried,0
843,45548,1,Self-Employed,0
444,6753,10,Self-Employed,0
361,7520,15,Salaried,0
440,21761,23,Salaried,0
790,10384,18,Self-Employed,1
358,42472,22,Self-Employed,0
475,7713,5,Self-Employed,0
575,36035,12,Self-Employed,0
586,27168,9,Self-Employed,0
718,11186,26,Salaried,1
615,48051,26,Self-Employed,0
395,28000,6,Salaried,0
481,19873,10,Self-Employed,0
573,12837,23,Self-Employed,0
406,14194,29,Self-Employed,0
417,34833,23,Salaried,0
782,11558,29,Salaried,1
401,29176,21,Salaried,0
814,9604,20,Self-Employed,1
353,43539,14,Self-Employed,0
662,34333,16,Self-Employed,1
627,44332,24,Salaried,0
538,29062,5,Salaried,0
673,42197,10,Self-Employed,1
569,17339,25,Salaried,0
631,28110,29,Salaried,0
444,10844,0,Salaried,0
806,7816,0,Self-Employed,0
681,16698,9,Self-Employed,1
482,25149,21,Self-Employed,0
385,41094,20,Salaried,0
366,19115,1,Self-Employed,0
404,26238,6,Salaried,0
624,49212,14,Self-Employed,0
808,34956,15,Salaried,1
579,36402,3,Salaried,0
406,10861,10,Self-Employed,0
765,35108,24,Self-Employed,1
619,27415,15,Self-Employed,0
411,34853,19,Self-Employed,0
356,43160,4,Self-Employed,0
470,8214,22,Self-Employed,0
781,33431,6,Salaried,1
816,6554,21,Self-Employed,1
675,23039,5,Salaried,1
777,10696,15,Self-Employed,1
422,36594,24,Self-Employed,0
483,8213,22,Salaried,0
718,19813,22,Salaried,1
348,38754,15,Salaried,0
769,45255,26,Salaried,1
694,26447,22,Self-Employed,1
761,39710,23,Salaried,1
327,26455,29,Salaried,0
729,41208,29,Self-Employed,1
799,28504,21,Self-Employed,1
660,33957,24,Self-Employed,1
474,48781,6,Self-Employed,0
406,9459,19,Salaried,0
754,6676,22,Self-Employed,1
694,5651,14,Self-Employed,1
824,14148,11,Self-Employed,1
335,19668,15,Salaried,0
661,27439,20,Salaried,1
606,22164,22,Self-Employed,0
666,16471,21,Self-Employed,1
369,39573,15,Salaried,0
660,18373,25,Self-Employed,1
541,15608,2,Self-Employed,0
640,39816,2,Self-Employed,0
421,42603,20,Self-Employed,0
664,17128,21,Salaried,1
804,37505,3,Self-Employed,1
834,6638,6,Self-Employed,1
339,28718,0,Self-Employed,0
352,48125,15,Salaried,0
787,20549,0,Self-Employed,0
462,39546,17,Self-Employed,0
337,48939,12,Self-Employed,0
371,9199,11,Salaried,0
458,37481,12,Salaried,0
591,20980,25,Self-Employed,0
593,22596,2,Salaried,0
427,21721,26,Self-Employed,0
413,15995,10,Salaried,0
521,25574,9,Salaried,0
387,38156,14,Self-Employed,0
601,35879,28,Salaried,0
544,41434,15,Self-Employed,0
494,14713,27,Self-Employed,0
746,23296,26,Self-Employed,1
386,15833,29,Salaried,0
307,5201,20,Self-Employed,0
375,48541,19,Salaried,0
794,36330,22,Self-Employed,1
831,23518,10,Salaried,1
641,49007,28,Self-Employed,0
767,34813,26,Salaried,1
684,17056,12,Self-Employed,1
629,21221,12,Salaried,0
414,13193,12,Self-Employed,0
595,17296,17,Self-Employed,0
375,26307,21,Salaried,0
354,43126,11,Self-Employed,0
303,17629,8,Salaried,0
582,34483,23,Self-Employed,0
424,31977,7,Salaried,0
669,30893,6,Salaried,1
494,33041,21,Salaried,0
420,40031,2,Salaried,0
586,7474,9,Self-Employed,0
589,43680,20,Salaried,0
356,11866,20,Self-Employed,0
649,24296,22,Salaried,0
329,7175,12,Salaried,0
579,12700,0,Salaried,0
544,13809,13,Self-Employed,0
581,40611,21,Self-Employed,0
433,25736,14,Salaried,0
842,49986,2,Salaried,0
450,17741,5,Self-Employed,0
633,9353,22,Salaried,0
745,6016,7,Self-Employed,1
385,48824,29,Salaried,0
607,14305,15,Self-Employed,0
826,33375,17,Salaried,1
370,37291,7,Salaried,0
546,12607,25,Self-Employed,0
358,22824,20,Self-Employed,0
566,16402,19,Self-Employed,0
752,19062,8,Self-Employed,1
494,15642,16,Salaried,0
732,42146,0,Self-Employed,0
557,47577,2,Salaried,0
547,46526,24,Self-Employed,0
810,23935,17,Salaried,1
690,48703,25,Salaried,1
388,48830,21,Salaried,0
603,31145,8,Salaried,0
832,9761,28,Self-Employed,1
492,23794,25,Salaried,0
393,33519,23,Salaried,0
638,36413,14,Salaried,0
557,14792,29,Salaried,0
817,13374,11,Self-Employed,1
743,47695,19,Self-Employed,1
676,8890,16,Salaried,1
487,38455,25,Self-Employed,0
348,37477,2,Salaried,0
548,22017,24,Salaried,0
763,44629,26,Self-Employed,1
849,20599,6,Salaried,1
333,39355,19,Self-Employed,0
730,41715,24,Salaried,1
708,43636,10,Self-Employed,1
513,35509,5,Self-Employed,0
656,29357,26,Self-Employed,1
603,14386,1,Self-Employed,0
542,43396,10,Salaried,0
393,23215,10,Self-Employed,0
646,48131,21,Self-Employed,0
329,30740,19,Salaried,0
561,9943,16,Salaried,0
779,9257,26,Salaried,1
357,43593,6,Self-Employed,0
584,31462,16,Salaried,0
798,36187,17,Salaried,1
361,9600,2,Self-Employed,0
529,44515,21,Self-Employed,0
337,20047,15,Self-Employed,0
300,20400,14,Self-Employed,0
517,15257,5,Salaried,0
483,36143,12,Self-Employed,0
545,28068,5,Self-Employed,0
386,41657,22,Salaried,0
336,35560,22,Self-Employed,0
829,17451,0,Self-Employed,0
740,24309,29,Self-Employed,1
402,44289,5,Salaried,0
752,21419,0,Salaried,0
706,45491,14,Self-Employed,1
674,11106,27,Salaried,1
318,22758,19,Salaried,0
633,37601,9,Salaried,0
351,8622,14,Self-Employed,0
529,24877,15,Self-Employed,0
817,42515,14,Salaried,1
678,34357,9,Self-Employed,1
555,37427,6,Self-Employed,0
638,27953,27,Self-Employed,0
319,6378,2,Self-Employed,0
405,48387,18,Salaried,0
303,18478,14,Self-Employed,0
420,25884,16,Salaried,0
577,46739,3,Self-Employed,0
633,11252,24,Self-Employed,0
381,35273,29,Self-Employed,0
369,34231,27,Self-Employed,0
505,27182,12,Self-Employed,0
681,25241,6,Salaried,1
417,15105,29,Self-Employed,0
809,7039,21,Self-Employed,1
830,39758,2,Salaried,0
329,7309,25,Salaried,0
457,15517,20,Salaried,0
583,6410,29,Self-Employed,0
820,38825,22,Self-Employed,1
604,37810,6,Salaried,0
753,23058,6,Self-Employed,1
578,22663,11,Self-Employed,0
598,14432,6,Salaried,0
746,6344,29,Salaried,1
725,6206,17,Self-Employed,1
566,39678,0,Salaried,0
752,40899,28,Self-Employed,1
763,49742,23,Self-Employed,1
551,35128,12,Salaried,0
591,39782,24,Salaried,0
630,5601,2,Salaried,0
822,24374,13,Self-Employed,1
309,14219,27,Self-Employed,0
484,37092,4,Salaried,0
393,42008,0,Salaried,0
313,24878,26,Self-Employed,0
478,11912,23,Salaried,0
329,7394,22,Self-Employed,0
560,22111,12,Self-Employed,0
832,10723,13,Self-Employed,1
355,44857,6,Salaried,0
518,17642,15,Self-Employed,0
833,35916,18,Salaried,1
622,43332,15,Salaried,0
846,31339,27,Salaried,1
383,5723,17,Self-Employed,0
842,32065,11,Self-Employed,1
474,6329,7,Salaried,0
791,14882,0,Self-Employed,0
422,32619,14,Salaried,0
789,33961,29,Salaried,1
828,43418,24,Self-Employed,1
610,15973,17,Self-Employed,0
756,45120,2,Self-Employed,0
459,16281,26,Self-Employed,0
551,23240,8,Self-Employed,0
816,34903,19,Salaried,1
645,8705,21,Salaried,0
432,35838,27,Salaried,0
651,40441,20,Self-Employed,1
538,8411,10,Salaried,0
784,22962,14,Salaried,1
351,43462,21,Self-Employed,0
416,27758,2,Salaried,0
644,7334,18,Self-Employed,0
548,15037,23,Self-Employed,0
795,12548,0,Self-Employed,0
650,44676,24,Salaried,0
624,16778,0,Self-Employed,0
798,23355,1,Salaried,0
629,47391,28,Self-Employed,0
301,21460,11,Salaried,0
486,43667,26,Salaried,0
787,5401,9,Self-Employed,1
656,32351,15,Salaried,1
828,49180,23,Self-Employed,1
802,8304,16,Salaried,1
337,36869,15,Salaried,0
732,24869,16,Salaried,1
414,39298,6,Self-Employed,0
669,7430,19,Salaried,1
826,19311,24,Salaried,1
430,16582,8,Self-Employed,0
588,19837,16,Self-Employed,0
410,12568,8,Self-Employed,0
624,31286,0,Salaried,0
708,38423,1,Self-Employed,0
699,34996,7,Self-Employed,1
428,19895,25,Salaried,0
699,39817,23,Self-Employed,1
613,27357,0,Salaried,0
790,44359,23,Self-Employed,1
326,18933,15,Self-Employed,0
304,47210,28,Salaried,0
694,29762,20,Self-Employed,1
716,11089,19,Salaried,1
642,49144,16,Self-Employed,0
744,46816,13,Salaried,1
465,13102,22,Salaried,0
775,43676,5,Self-Employed,1
333,16770,2,Self-Employed,0
432,46904,17,Self-Employed,0
760,29033,7,Salaried,1
653,34043,27,Salaried,1
437,19276,20,Self-Employed,0
798,32948,15,Self-Employed,1
818,28097,21,Self-Employed,1
519,11647,0,Self-Employed,0
697,48276,8,Self-Employed,1
548,19054,24,Self-Employed,0
695,40525,15,Salaried,1
516,42418,27,Salaried,0
771,19325,3,Salaried,1
847,35125,19,Salaried,1
643,17238,18,Salaried,0
742,11487,26,Self-Employed,1
788,10444,10,Salaried,1
461,38691,20,Self-Employed,0
837,39848,16,Salaried,1
658,19706,24,Salaried,1
605,27456,0,Salaried,0
661,40162,12,Self-Employed,1
573,21958,4,Self-Employed,0
430,24219,7,Salaried,0
459,16175,27,Salaried,0
332,17729,25,Self-Employed,0
685,35388,14,Salaried,1
384,42948,13,Salaried,0
721,37803,26,Self-Employed,1
389,42188,26,Self-Employed,0
552,24625,4,Salaried,0
763,15319,13,Salaried,1
735,9789,12,Self-Employed,1
532,23767,1,Self-Employed,0
574,44873,23,Self-Employed,0
477,12068,24,Salaried,0
524,15462,25,Self-Employed,0
326,28371,19,Salaried,0
373,21351,18,Self-Employed,0
564,44657,15,Self-Employed,0
424,15785,17,Salaried,0
